"","year","H.B2.5.","H.B25.","H.B50.","H.B75.","H.B97.5.","mu.HB2.5.","mu.HB25.","mu.HB50.","mu.HB75.","mu.HB97.5.","S2.5.","S25.","S50.","S75.","S97.5.","N2.5.","N25.","N50.","N75.","N97.5.","log.resid2.5.","log.resid25.","log.resid50.","log.resid75.","log.resid97.5.","R2.5.","R25.","R50.","R75.","R97.5."
"1",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3280.05823223997,11719.2850746754,16975.8522183954,24564.2034770138,69851.3931587046
"2",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5347.2525217342,12654.086455706,16875.4739543386,22115.3236134075,40259.8793155829
"3",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6737.6972177871,13933.1313188061,17906.4146041723,22869.7731588189,38686.66544762
"4",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7102.82879381197,12943.7624409221,16480.8494431404,21091.4158169599,34969.4436481178
"5",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7395.10102194506,9985.34506214513,11752.3303794143,13850.509601636,18980.1206996257
"6",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19748.0793259648,22656.6623719526,24445.5305681216,26397.6737711282,30347.7747432416
"7",1983,1510.6704712774,4526.01364772995,7027.70453195925,10464.9360778974,21317.3540477985,0.124770570040523,0.303096249369787,0.40068143996832,0.499045001782562,0.672472503190524,9515.4214651561,10144.7097625643,10483.7249281839,10866.6619906863,11628.0474189767,11930.1125227262,14954.8270145486,17522.364436731,21070.6059382018,32146.4385343379,-0.980720071305282,-0.657231847304923,-0.507459680968576,-0.352202609635749,-0.012272485097833,5485.63257227205,7097.41572684421,8117.85794336767,9326.10963576047,12131.0087721519
"8",1984,1566.20506690908,4418.69436642207,6879.58796965346,10412.6634395255,20996.0113970357,0.130536777308573,0.294068815833606,0.392552671751658,0.494806990465833,0.670694220130787,9753.94340341879,10318.7342842308,10611.2678552738,10910.3544846418,11513.142290267,12020.7595582099,15012.3217806654,17521.7318818919,21191.860657003,31339.7949897222,-0.00799707494970714,0.223278851121815,0.339380823782447,0.458811356461278,0.788134396995001,15821.0394696603,17942.1206811651,19106.0309857771,20358.7870819153,23328.7522822774
"9",1985,1452.80124065901,4271.24021228006,6572.40623449107,9733.03297510987,19821.0346829029,0.139653921235772,0.335624738134658,0.44037593421974,0.538918713372867,0.709497898287225,5743.2693266219,7386.01847439962,8400.48425367749,9550.36636815495,12138.2055849234,8911.33553678523,12605.5722855241,15130.7277126823,18538.061820893,28729.503131083,-0.118663928997417,0.138346485184984,0.268055996481392,0.402201428379376,0.693606910707263,13206.7296490628,15681.0251800447,17148.9846596775,18700.0115071534,22238.7124346771
"10",1986,3887.98403276069,4935.22913724554,5626.86409082984,6394.31738306825,8090.15105567221,0.290226040528862,0.373991542403175,0.415667576633733,0.463117583593701,0.556007167911816,5225.54245133293,6872.90404183552,7883.16561832974,9034.78984262095,11738.3702521302,10389.1822620424,12357.7600904041,13621.995598827,14950.4318914135,18076.1655968218,-0.126400652100657,0.222401823198723,0.401197328859419,0.575781680627093,0.984804490025083,12330.3578557642,16383.590465276,19041.5938733532,22514.6640089127,30883.3625647013
"11",1987,6311.58734318751,8088.46641900608,9171.20153007862,10356.6368917624,13097.1963766919,0.349800197587632,0.427637389255272,0.469877309715143,0.513416747628275,0.588248805866595,7332.59512972735,9228.16562323848,10353.6559131121,11581.888176789,14593.61301048,15354.2348735543,18024.990344483,19677.2639610255,21403.759249039,25070.5155685978,-0.189596931798008,0.124305567468763,0.306468075652013,0.490436376365541,0.93821760864215,12369.3683961595,15732.078183445,18266.7020940269,21091.9826292197,28639.3519753101
"12",1988,1974.84165004326,2517.90998197304,2878.76194642081,3281.07640814229,4232.50028997312,0.166056511745445,0.254064502219027,0.309987641866781,0.374731750355463,0.512260599102134,3047.18874407296,4982.50218788138,6428.56283369447,8127.34679374923,12444.2828074552,5840.26375590558,7930.57130252163,9348.91742631787,11078.6354100782,15561.5804163336,0.117825867567929,0.51072204239418,0.708782527217289,0.902363214272236,1.29947192090632,14419.2187902322,20816.4126597535,24785.3948783573,29037.324523547,38024.0585840849
"13",1989,4842.68558233896,6258.14609615072,7113.33641874854,7984.33941055114,10261.3227076463,0.253431868735508,0.306305121261295,0.334951476870397,0.363164486963373,0.421741073605425,12977.7458845162,13697.8891498097,14101.1290812602,14520.5487237185,15318.7422877012,18661.1326507202,20306.8302405196,21196.111793673,22253.4178471936,24625.2253145495,-0.470676545368955,0.0471756176040774,0.319780045576188,0.583212998137922,1.08667282184967,8011.36852205789,13511.0218659322,17526.1613089601,23059.9317952818,37557.6624444355
"14",1990,2924.09924222427,3752.55504683224,4260.86916703694,4830.75651567319,6181.49175218275,0.138839664382025,0.183200229728076,0.208630054892754,0.238842696045743,0.305800317215176,11633.4787298117,14402.0047888374,16104.057219045,17988.7506939631,22451.3520502398,15658.9808838333,18598.4374642378,20460.5391581844,22435.5477188595,26911.9625890197,-0.664712223290168,-0.276768068913683,-0.0369339750844189,0.221761494564435,0.830374970140825,7898.89152687291,10093.109779371,11527.9349436698,13170.9397389603,17942.1898949027
"15",1991,2221.7112635366,5693.99610812722,8141.46452108895,11567.0322776755,20465.6025524057,0.168119081372327,0.387402985435797,0.506821535342203,0.622049145397074,0.792415722986802,3540.19029105085,6107.39820980443,7983.99116215732,10194.772820915,16280.049479856,9574.154507398,13590.5996756143,16632.8871571272,20481.0261775221,29926.1441205536,0.182566061778659,0.450834900528642,0.578830740088446,0.711096399393764,1.01392763256978,19604.0654240836,21821.1289249453,23062.2498334893,24282.0495265391,26917.4605688733
"16",1992,6800.19262532876,8601.7394446299,9704.09962936443,10932.9280208321,13787.2074675381,0.36147288240765,0.439615849701294,0.485181744526969,0.530084350757016,0.612100120754646,7071.84209567884,8975.514531179,10264.0190336622,11827.8031694285,15157.8356508075,15312.260921418,18370.0547933177,20190.5872063557,22299.7195303321,26442.9065931822,-0.983167018176648,-0.713789742044825,-0.572821843182155,-0.424121058329258,0.015090142713022,5732.71097366385,6775.07591657076,7420.40236223132,8070.41278201522,9430.1266884775
"17",1993,10983.9979286807,13992.4037210457,15854.7393081601,17841.4931011413,21984.6873648305,0.430889130090693,0.568011917377126,0.645195441965575,0.718541944268604,0.839375921457985,3251.03370001711,6172.61202917125,8707.3252536853,11890.4294443914,20153.0240057262,16946.6466479171,21519.9975138912,24819.9167403396,28754.2313829853,37612.9451977811,-0.544376338777315,-0.252156249359281,-0.0968699043053194,0.0625350226216281,0.497252974015895,8870.60802608956,10356.0135722905,11233.7375609377,12213.1160332911,14318.408149422
"18",1994,1138.54682796488,1476.49041715409,1690.7121423305,1932.63767516847,2474.25429629409,0.0598074313029761,0.0990910592930429,0.131275983795112,0.175013311612334,0.298726359649685,4207.82977985145,8316.62796428684,11091.4864057093,14653.2394525653,24701.805965791,5912.0698310399,10052.8509716396,12864.7402864892,16376.2807986895,26590.727096121,-0.40343770783036,-0.0673738250752676,0.0883270015186053,0.23508127432204,0.63277339800246,11394.8092093088,13323.0959453214,14447.911549632,15750.3970103431,18501.1531951412
"19",1995,5450.88158364019,6912.3611662661,7800.81823466507,8761.16303575012,11137.9039146572,0.395329895998097,0.453322482217556,0.487065371242755,0.518253566056572,0.579150545403901,7262.88136364388,7879.79850196671,8210.64134122952,8561.4749002642,9310.34138244126,13409.086669549,15024.8270857711,16030.8469057117,17073.0439425253,19511.7572064273,-0.293865654976138,-0.0358755502039951,0.0783119934911491,0.196469135550466,0.471181123646432,11252.4179579844,13217.7268255151,14264.4521414782,15433.4598260433,18112.613879697
"20",1996,4741.60330870713,6002.91762183638,6824.88657084605,7720.54673042705,9741.83045509382,0.279384960689553,0.332924582094164,0.364648807321051,0.396962646715358,0.457816396034117,10252.5132148158,11285.7149170686,11901.1046890236,12511.2857543253,13712.855228643,15883.4271199525,17777.5760845015,18761.8243438295,19880.4715690332,22176.7644399272,0.0410954735555309,0.29425267785913,0.428207022113824,0.583143209322065,0.968408648060243,17162.6595928941,19600.3221770568,20925.8077571436,22423.7717398451,25567.3387698296
