"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"variable","sd","mean","0%","2.5%","5%","50%","95%","97.5%","100%"
"Smsy_lambert"," 1417.674"," 5182.706"," 3326.946"," 3695.741"," 3740.576"," 4877.724"," 7967.142"," 8716.104","13632.225"
"Umsy_lambert","0.09704079","0.61992170","0.38366615","0.42358388","0.45834909","0.62611713","0.77000690","0.78384235","0.85832781"
"Smsy_lambert80"," 1134.139"," 4146.165"," 2661.557"," 2956.593"," 2992.461"," 3902.179"," 6373.714"," 6972.883","10905.780"
