"","variable","Point est.","Upper C.I.","point_estimate","converge"
"1","B.sum",0.999846799412036,1.00074499164898,"Point est.","false"
"2","D.sum",1.00252308174468,1.00448245006743,"Point est.","false"
"3","N[1]",1.00120416538708,1.00243191034235,"Point est.","false"
"4","N[2]",1.00228968213424,1.00444441329759,"Point est.","false"
"5","N[3]",1.00206320533662,1.00418478117735,"Point est.","false"
"6","N[4]",1.00023682197435,1.00150219106835,"Point est.","false"
"7","N[5]",1.00123088940813,1.00514908323516,"Point est.","false"
"8","N[6]",1.00026633215819,1.00145803113078,"Point est.","false"
"9","N[7]",0.999984509755655,1.00089360499916,"Point est.","false"
"10","N[8]",1.00149706924656,1.00439325417348,"Point est.","false"
"11","N[9]",0.999862839506518,1.00018552781374,"Point est.","false"
"12","N[10]",1.00036675722829,1.00180450552859,"Point est.","false"
"13","N[11]",0.99999163200132,1.00074562362568,"Point est.","false"
"14","N[12]",1.000143859977,1.00111736297315,"Point est.","false"
"15","N[13]",1.0002547029392,1.00118712467008,"Point est.","false"
"16","N[14]",1.00015123276236,1.00124726927035,"Point est.","false"
"17","N[15]",0.999741901962309,1.00034902689215,"Point est.","false"
"18","N[16]",1.00061234786626,1.0015081479846,"Point est.","false"
"19","N[17]",1.00075069635531,1.00396456745982,"Point est.","false"
"20","N[18]",1.00002129432544,1.00124589191634,"Point est.","false"
"21","N[19]",1.00124309975438,1.00570285657756,"Point est.","false"
"22","N[20]",1.00017852772784,1.00183739672612,"Point est.","false"
"23","N[21]",1.00036401236453,1.00241963250983,"Point est.","false"
"24","N[22]",1.00024944270668,1.00177059915145,"Point est.","false"
"25","N[23]",1.00013922205828,1.00071300632761,"Point est.","false"
"26","N[24]",1.00065149577182,1.00165218996292,"Point est.","false"
"27","N[25]",0.999799607107975,0.999801836353744,"Point est.","false"
"28","N[26]",1.00030749802963,1.00202069845193,"Point est.","false"
"29","N[27]",1.00168929912194,1.00602655431674,"Point est.","false"
"30","N[28]",1.00075358501614,1.00183395292278,"Point est.","false"
"31","N[29]",1.00225552715075,1.00666927090758,"Point est.","false"
"32","N[30]",1.00112071708631,1.00504343681205,"Point est.","false"
"33","N[31]",1.0007055673213,1.00363747749095,"Point est.","false"
"34","N[32]",0.999818711282118,1.00056163899184,"Point est.","false"
"35","N[33]",1.00138453092595,1.00560131004965,"Point est.","false"
"36","N[34]",0.99965303989644,0.999710683923016,"Point est.","false"
"37","N[35]",1.00090533408668,1.0035615333199,"Point est.","false"
"38","N[36]",1.00022334469343,1.0011882684709,"Point est.","false"
"39","N[37]",1.00014862839029,1.00114579820693,"Point est.","false"
"40","N.ya[1,1]",1.00423308540533,1.00881851414573,"Point est.","false"
