"","X","year","age","age_comp","p","q","Nya"
"1",1,1977,"Age 5",NA,0.585139280257747,NA,NA
"2",4,1978,"Age 5",NA,0.586923135592822,NA,NA
"3",7,1979,"Age 5",NA,0.585090524729783,NA,NA
"4",10,1980,"Age 5",NA,0.564985149113823,NA,NA
"5",13,1981,"Age 5",NA,0.53520990128868,NA,NA
"6",16,1982,"Age 5",NA,0.724517025906157,NA,NA
"7",19,1983,"Age 5",NA,0.637249227903504,0.564202977214573,10871.8708479684
"8",22,1984,"Age 5",NA,0.772290705364245,0.586229781299597,11193.5891443214
"9",25,1985,"Age 5",NA,0.650791155972394,0.60083750928703,9966.7117868488
"10",28,1986,"Age 5",0.474747474747475,0.474961714815121,0.478515463022778,6494.66167542739
"11",31,1987,"Age 5",0.93,0.635538889402073,0.9025420960275,17811.7701368357
"12",34,1988,"Age 5",0.57,0.628787270392198,0.560846287304838,5079.79066874354
"13",37,1989,"Age 5",0.69,0.419857481767684,0.684066475201507,14728.0887782768
"14",40,1990,"Age 5",0.54,0.66420940463233,0.544314024370709,11158.6535393305
"15",43,1991,"Age 5",NA,0.696083445828255,0.57176413928213,9202.71380419161
"16",46,1992,"Age 5",0.57,0.624281789625659,0.569269042074486,11400.4139836317
"17",49,1993,"Age 5",NA,0.584561791061514,0.605078328417671,15996.3550071578
"18",52,1994,"Age 5",NA,0.512781440981866,0.621589431022559,7916.08268571234
"19",55,1995,"Age 5",0.465346534653465,0.652681177712519,0.467435340334552,7564.45715424965
"20",58,1996,"Age 5",0.87,0.604895496119133,0.852704783740812,16208.1868702376
"21",61,1997,"Age 5",0.49,0.381599673315448,0.494505514906574,4581.21226048207
"22",64,1998,"Age 5",0.48,0.702947802240559,0.484171713933719,6708.36729802712
"23",67,1999,"Age 5",0.6,0.770051859452111,0.597567745352617,7523.91581510801
"24",70,2000,"Age 5",0.53,0.666522137841043,0.528337149482659,9384.00851360262
"25",73,2001,"Age 5",0.595959595959596,0.584103595533015,0.603694829594553,12809.3688886988
"26",76,2002,"Age 5",0.41,0.50205190525417,0.421521190705337,5153.25435547574
"27",79,2003,"Age 5",0.84,0.776262890392066,0.816712638204708,16891.0706918229
"28",82,2004,"Age 5",0.727272727272727,0.762274709167712,0.715502819234305,13617.0061236351
"29",85,2005,"Age 5",0.69,0.761517554533852,0.684920764633039,10976.8724434506
"30",88,2006,"Age 5",0.58,0.590909412395797,0.58755274718278,6977.18548247046
"31",91,2007,"Age 5",0.74,0.641572974973066,0.725680785960917,4779.23687914946
"32",94,2008,"Age 5",0.77,0.614811264159839,0.749069221029868,5504.69267528316
"33",97,2009,"Age 5",0.707070707070707,0.47894141401168,0.689661721053931,6325.88704963036
"34",100,2010,"Age 5",0.77,0.392361666176807,0.758316711409081,9770.67335764011
