"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"variable","sd","mean","0%","2.5%","5%","50%","95%","97.5%","100%"
"Smsy_lambert"," 35367.717"," 10763.818","  3666.115","  4224.793","  4417.388","  6353.033"," 16432.835"," 23898.039","434422.546"
"Umsy_lambert","0.1145365","0.5257250","0.1733100","0.3203378","0.3445244","0.5195139","0.7199479","0.7339150","0.8037972"
