"","year","H.B2.5.","H.B25.","H.B50.","H.B75.","H.B97.5.","mu.HB2.5.","mu.HB25.","mu.HB50.","mu.HB75.","mu.HB97.5.","S2.5.","S25.","S50.","S75.","S97.5.","N2.5.","N25.","N50.","N75.","N97.5.","log.resid2.5.","log.resid25.","log.resid50.","log.resid75.","log.resid97.5.","R2.5.","R25.","R50.","R75.","R97.5."
"1",1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3035.25624630579,11437.9060744375,17145.0553257579,24460.4782611332,73654.1770319936
"2",1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5413.61744310112,12832.9102447422,17028.8702889673,22239.1972309105,39813.0655632389
"3",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7221.44818792939,14140.2156239681,17993.9059314368,22707.4052684021,38860.5554999079
"4",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7396.61073916426,12881.9290722811,16460.4215164513,20720.5412895459,34449.1169710989
"5",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7347.96378399438,9831.46785432482,11639.4209822663,13592.0209045549,19508.9728830593
"6",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19545.5506768718,22730.728240159,24439.6471589877,26322.6035249582,30471.5197585496
"7",1983,1497.71706016912,4607.6361832636,6944.76610846637,10280.0798576377,22129.0656051125,0.127415725529567,0.304033834298645,0.397110028296439,0.498069896451457,0.67875730133383,9487.0267350331,10121.9361837607,10475.3198101033,10850.5343209471,11610.7363418264,11930.1360466014,15073.4278689858,17464.8524396689,20865.9960754677,32631.9819438356,-0.99328167400636,-0.66144748321951,-0.49752826886164,-0.340327164749237,-0.0118088787735302,5493.99589053451,7115.34045723391,8200.8427631767,9440.0993118818,12198.0028105382
"8",1984,1601.62593923573,4457.08959208244,6935.82733446473,10241.2678918317,22224.4534212492,0.130977242803244,0.296459547411484,0.394463476578115,0.489590815147788,0.674491981500397,9756.77022587602,10309.6589430809,10602.8725413046,10909.6805996727,11525.2385802796,12115.70786761,15112.1039140523,17516.6648919365,20925.8151953596,32868.9362131202,0.00153358765358789,0.222770747035257,0.340295633267573,0.458003898550254,0.767369343207706,15863.2955564145,18005.4345418941,19155.7142732029,20380.5463947121,23291.7129933054
"9",1985,1524.0059630921,4136.29184836013,6429.21890745662,9481.59503718026,20433.0962031382,0.146701935148501,0.328327578756423,0.433560596137463,0.536625607830712,0.71316585227043,5764.59171234019,7332.33297701736,8375.62087349574,9549.70542538119,11976.747528475,9155.41071943383,12391.7583196885,15021.5364116093,18369.9171334713,29232.2667399925,-0.140349163921003,0.131587599230424,0.255635436239705,0.391642003813907,0.702329699294531,13131.4921690248,15590.7467245507,17072.3107672255,18555.7963436451,22321.0402484927
"10",1986,3856.9668958527,4964.21934623044,5680.75345181483,6398.03356123291,8238.19750373316,0.291890136985157,0.375263621706158,0.420205677942084,0.465390710233917,0.554410107562527,5235.01984222376,6831.73942874187,7852.41418755835,8933.07946555528,11551.4677276142,10314.7626121875,12352.8954064617,13616.7560246027,14965.1540653001,17886.561938223,-0.130101161868283,0.213439284951492,0.392043545860433,0.58111455469541,0.952502658087199,12378.4194528141,16409.7069572067,19063.5467365091,22457.2839365964,30581.1300799733
