"","year","age","age_comp","p","q","Nya"
"1",1977,"Age 5",NA,0.603938214246064,NA,NA
"4",1978,"Age 5",NA,0.60444805879797,NA,NA
"7",1979,"Age 5",NA,0.604280425800861,NA,NA
"10",1980,"Age 5",NA,0.592930093882655,NA,NA
"13",1981,"Age 5",NA,0.565552128646121,NA,NA
"16",1982,"Age 5",NA,0.720866763198371,NA,NA
"19",1983,"Age 5",NA,0.650258113947952,0.579524168424495,10975.470625212
"22",1984,"Age 5",NA,0.758311307502299,0.609854348287327,11581.4317652776
"25",1985,"Age 5",NA,0.651374579252838,0.639435786047132,10381.6433319028
"28",1986,"Age 5",0.474747474747475,0.514720858304549,0.478680192097123,6577.81161495338
"31",1987,"Age 5",0.93,0.633818280576163,0.895908710971839,17759.1232669582
"34",1988,"Age 5",0.57,0.641445990640946,0.560311048440523,5484.36779182293
"37",1989,"Age 5",0.69,0.471192305773275,0.682971279315833,14562.6735862832
"40",1990,"Age 5",0.54,0.656387274447092,0.547016700871178,11200.2530064471
"43",1991,"Age 5",NA,0.693170467554895,0.600698367028127,10480.6543244122
"46",1992,"Age 5",0.57,0.621576571108007,0.570123077813165,11564.0778841508
"49",1993,"Age 5",NA,0.586871539793935,0.643794266111245,16252.1506782293
"52",1994,"Age 5",NA,0.524267122372665,0.642541493507441,8784.1236356164
"55",1995,"Age 5",0.465346534653465,0.650456926991735,0.471423663390115,7630.39972017635
"58",1996,"Age 5",0.87,0.610130713664113,0.848248216041499,16022.5764161801
"61",1997,"Age 5",0.49,0.395004199080388,0.500551117870274,4633.68334094677
"64",1998,"Age 5",0.48,0.698211488419125,0.490209513154522,6665.59266039488
"67",1999,"Age 5",0.6,0.762858741106192,0.600739854816562,7659.39887200069
"70",2000,"Age 5",0.53,0.665404645202749,0.531971619708243,9354.10787330797
"73",2001,"Age 5",0.595959595959596,0.587039713210874,0.609185773378864,12864.2533305072
"76",2002,"Age 5",0.41,0.51038418253636,0.427536043968977,5355.65085924772
"79",2003,"Age 5",0.84,0.770642060557656,0.810230943426514,16741.072858786
"82",2004,"Age 5",0.727272727272727,0.754450642232467,0.712212831351654,13449.3715907832
"85",2005,"Age 5",0.69,0.756331201630081,0.685625145932,10910.0481731585
"88",2006,"Age 5",0.58,0.608957365014698,0.59319675091837,6990.51336246809
"91",2007,"Age 5",0.74,0.656729443563968,0.722885071571777,4841.30101698664
"94",2008,"Age 5",0.77,0.6359427289961,0.742991635576946,5524.919599042
"97",2009,"Age 5",0.707070707070707,0.513925169751968,0.684111816331958,6275.51661557767
"100",2010,"Age 5",0.77,0.454093311566469,0.757498822133996,9647.30694450559
"103",2011,"Age 5",0.62,0.60127006562152,0.615067876298396,4701.21410991377
"106",2012,"Age 5",0.61,0.414433646505862,0.612539528886593,5783.14273487153
"109",2013,"Age 5",0.61,0.587031795734648,0.607696217797984,6374.28688155473
"112",2014,"Age 5",0.44,0.397522238337819,0.462720943509842,4036.732147475
"115",2015,"Age 5",0.59,0.575090650302517,0.598222751984822,3905.01382055415
"118",2016,"Age 5",0.37,NA,0.395397912684397,4122.34679332146
"121",2017,"Age 5",0.777777777777778,NA,0.764448281923603,4418.35243478737
"124",2018,"Age 5",0.22,NA,0.261684744821819,1898.21442159205
"127",2019,"Age 5",0.425742574257426,NA,0.444852335068959,3629.37734767574
"2",1977,"Ages 2-4",NA,0.368106181689817,NA,NA
"5",1978,"Ages 2-4",NA,0.366577732835992,NA,NA
"8",1979,"Ages 2-4",NA,0.369181544113115,NA,NA
"11",1980,"Ages 2-4",NA,0.372635382239829,NA,NA
"14",1981,"Ages 2-4",NA,0.401400542575475,NA,NA
"17",1982,"Ages 2-4",NA,0.270061452590769,NA,NA
"20",1983,"Ages 2-4",NA,0.202341647798696,0.389124577083012,7180.23024229083
"23",1984,"Ages 2-4",NA,0.210483429822463,0.358424620743423,6593.6892315208
"26",1985,"Ages 2-4",NA,0.324301123686687,0.325609447006546,5081.9798794369
"29",1986,"Ages 2-4",0.484848484848485,0.45404181958693,0.482647881062987,6620.97150783432
"32",1987,"Ages 2-4",0.05,0.333127218599461,0.0847358467459013,1672.02319666106
"35",1988,"Ages 2-4",0.41,0.340205394633268,0.417060666015023,4084.41162534334
"38",1989,"Ages 2-4",0.24,0.432544938534556,0.259885536656831,5540.48712388966
"41",1990,"Ages 2-4",0.43,0.33731274844,0.423538699292545,8677.27986489766
"44",1991,"Ages 2-4",NA,0.301521680851864,0.373533082457995,6497.25585236431
"47",1992,"Ages 2-4",0.4,0.371317259150876,0.400440478844696,8124.65784474656
"50",1993,"Ages 2-4",NA,0.399666702657949,0.329357852368292,8264.59678922268
"53",1994,"Ages 2-4",NA,0.47110815813713,0.322737059383379,4233.18140283763
"56",1995,"Ages 2-4",0.425742574257426,0.343613906799468,0.430994143628505,6972.65525564768
"59",1996,"Ages 2-4",0.13,0.387334466873342,0.147863157818338,2790.7735703862
"62",1997,"Ages 2-4",0.5,0.599045318637793,0.486139376131104,4497.18723772087
"65",1998,"Ages 2-4",0.52,0.298372947038084,0.505861513043227,6883.88596616004
"68",1999,"Ages 2-4",0.39,0.217500665847259,0.387324108539246,4926.34380877523
"71",2000,"Ages 2-4",0.47,0.325348886442191,0.464176263789351,8163.72274798604
"74",2001,"Ages 2-4",0.404040404040404,0.390849988946635,0.386791966841423,8174.2747274639
"77",2002,"Ages 2-4",0.59,0.486420839434179,0.568243056603647,7118.22031175634
"80",2003,"Ages 2-4",0.16,0.224291058635096,0.185841298964938,3835.67294873464
"83",2004,"Ages 2-4",0.272727272727273,0.226432439386445,0.283449601874515,5346.18370912464
"86",2005,"Ages 2-4",0.29,0.224939163997548,0.292655469893034,4655.10697171151
"89",2006,"Ages 2-4",0.41,0.37599085501545,0.39393452072913,4643.61009884007
"92",2007,"Ages 2-4",0.22,0.307505012692761,0.238018086946181,1593.90321487956
"95",2008,"Ages 2-4",0.23,0.353158684249317,0.252935300622305,1878.80758301752
"98",2009,"Ages 2-4",0.292929292929293,0.482672812805941,0.311926505250385,2859.95305538113
"101",2010,"Ages 2-4",0.22,0.53063523062546,0.229998600420451,2924.56384738276
"104",2011,"Ages 2-4",0.35,0.380884681306386,0.35387520420612,2705.45899099464
"107",2012,"Ages 2-4",0.38,0.576622285570372,0.37509528204427,3541.41479314984
"110",2013,"Ages 2-4",0.36,0.384478072053986,0.362190810529157,3797.89317136209
"113",2014,"Ages 2-4",0.55,0.576074325378654,0.524800533501914,4579.22040977283
"116",2015,"Ages 2-4",0.41,0.397372702493729,0.397675815204548,2595.39779299539
"119",2016,"Ages 2-4",0.62,NA,0.591937391192809,6174.18014310541
"122",2017,"Ages 2-4",0.202020202020202,NA,0.214449312561793,1239.10411461037
"125",2018,"Ages 2-4",0.77,NA,0.725122132927978,5261.45971237306
"128",2019,"Ages 2-4",0.564356435643564,NA,0.543820149783385,4436.50239130688
"3",1977,"Ages 6-8",NA,0.0279556040641183,NA,NA
"6",1978,"Ages 6-8",NA,0.0289742083660389,NA,NA
"9",1979,"Ages 6-8",NA,0.0265380300860241,NA,NA
"12",1980,"Ages 6-8",NA,0.0344345238775163,NA,NA
"15",1981,"Ages 6-8",NA,0.033047328778404,NA,NA
"18",1982,"Ages 6-8",NA,0.00907178421085997,NA,NA
"21",1983,"Ages 6-8",NA,0.147400238253352,0.0313512544924931,588.503429423154
"24",1984,"Ages 6-8",NA,0.0312052626752383,0.0317210309692499,569.651888297183
"27",1985,"Ages 6-8",NA,0.0243242970604745,0.0349547669463222,524.977827227443
"30",1986,"Ages 6-8",0.0404040404040404,0.0312373221085219,0.03867192683989,531.085734631326
"33",1987,"Ages 6-8",0.02,0.0330545008243758,0.0193554422822592,383.372698769628
"36",1988,"Ages 6-8",0.02,0.0183486147257864,0.0226282855444534,221.655782012378
"39",1989,"Ages 6-8",0.07,0.0962627556921688,0.0571431840273362,1218.86783356721
"42",1990,"Ages 6-8",0.03,0.00629997711290772,0.0294445998362769,601.660915647455
"45",1991,"Ages 6-8",NA,0.005307851593241,0.0257685505138776,439.311186698654
"48",1992,"Ages 6-8",0.03,0.00710616974111768,0.0294364433421391,595.032722908922
"51",1993,"Ages 6-8",NA,0.0134617575481161,0.0268478815204628,666.140996873557
"54",1994,"Ages 6-8",NA,0.00462471949020514,0.0347214471091798,455.065010020985
"57",1995,"Ages 6-8",0.108910891089109,0.00592916620879693,0.09758219298138,1579.72413266676
"60",1996,"Ages 6-8",0,0.00253481946254453,0.00388862614016215,73.3341818079195
"63",1997,"Ages 6-8",0.01,0.00595048228181911,0.0133095059986221,122.914670392119
"66",1998,"Ages 6-8",0,0.00341556454279187,0.00392897380225142,53.3504906984399
"69",1999,"Ages 6-8",0.01,0.0196405930465486,0.0119360366441921,152.078958971388
"72",2000,"Ages 6-8",0,0.0092464683550594,0.00385211650240551,67.3585568853224
"75",2001,"Ages 6-8",0,0.0221102978424901,0.00402225977971344,84.8636745028633
"78",2002,"Ages 6-8",0,0.00319497802946121,0.00422089942737656,53.2743807556519
"81",2003,"Ages 6-8",0,0.00506688080724762,0.00392775760854849,80.857804543025
"84",2004,"Ages 6-8",0,0.0191169183810879,0.00433756677383119,81.7071767428858
"87",2005,"Ages 6-8",0.02,0.0187296343723704,0.0217193841749668,345.615017341658
"90",2006,"Ages 6-8",0.01,0.0150517799698522,0.0128687283525003,151.500625947994
"93",2007,"Ages 6-8",0.04,0.0357655437432703,0.0390968414820417,261.712881747954
"96",2008,"Ages 6-8",0,0.0108985867545831,0.00407306380074884,30.3307895778084
"99",2009,"Ages 6-8",0,0.00340201744209071,0.00396167841765655,36.1511836626663
"102",2010,"Ages 6-8",0.01,0.0152714578080715,0.0125025774455529,159.189780381373
"105",2011,"Ages 6-8",0.03,0.0178452530720941,0.031056919495484,237.483091935076
"108",2012,"Ages 6-8",0.01,0.00894406792376666,0.0123651890691368,116.874003397269
"111",2013,"Ages 6-8",0.03,0.0284901322113662,0.0301129716728589,315.574341780741
"114",2014,"Ages 6-8",0.01,0.0264034362835265,0.0124785229882442,109.07676144834
"117",2015,"Ages 6-8",0,0.0275366472037539,0.00410143281062998,26.7755923415523
"120",2016,"Ages 6-8",0.01,NA,0.0126646961227938,132.109882343798
"123",2017,"Ages 6-8",0.0202020202020202,NA,0.0211024055146043,121.669913903212
"126",2018,"Ages 6-8",0.01,NA,0.0131931222502031,95.57488167779
"129",2019,"Ages 6-8",0.0099009900990099,NA,0.011327515147656,92.4141501270933
