"","variable","point_estimate","Upper C.I.","converge"
"479","q[13,1]",1.00104068753029,1.00291697715583,"true"
"480","q[14,1]",0.999909357689523,1.00096146003268,"true"
"481","q[15,1]",1.000426221788,1.00184627110768,"true"
"482","q[16,1]",1.00131712892461,1.00379911062164,"true"
"483","q[17,1]",0.999953951237079,1.00027117803488,"true"
"484","q[18,1]",1.00061476402632,1.00240270213384,"true"
"485","q[19,1]",1.00005949687588,1.00112077234089,"true"
"486","q[20,1]",1.00023868072702,1.00041462038592,"true"
"487","q[21,1]",0.999678764320279,0.999723603354989,"true"
"488","q[22,1]",1.0001306529381,1.00141367943369,"true"
"489","q[23,1]",0.999920719146607,1.00034381506697,"true"
"490","q[24,1]",0.999745397011418,1.00033252458488,"true"
"491","q[25,1]",0.999649685420095,0.999756897904495,"true"
"492","q[26,1]",0.999905425334184,1.00079849526477,"true"
"493","q[27,1]",1.0007578738147,1.00187523475056,"true"
"494","q[28,1]",0.999959669561481,1.00012191919398,"true"
"495","q[29,1]",1.00061762121964,1.00194177916159,"true"
"496","q[30,1]",0.999800618390241,0.999963187578395,"true"
"497","q[31,1]",0.999517181482834,0.99953457654318,"true"
"498","q[32,1]",1.00095645812336,1.00306320110926,"true"
"499","q[33,1]",0.999849976216147,1.00051178033992,"true"
"500","q[34,1]",0.999863614551966,1.00047586049682,"true"
"501","q[35,1]",0.999614405382116,0.999877331084402,"true"
"502","q[36,1]",1.00009200639987,1.00145676275203,"true"
"503","q[37,1]",1.00152456377413,1.00663957432428,"true"
"504","q[1,2]",0.999734239644447,0.999909973547443,"true"
"505","q[2,2]",0.999973974678638,1.00051246036098,"true"
"506","q[3,2]",1.00077883118245,1.00229935320036,"true"
"507","q[4,2]",1.00057421792185,1.00319149507908,"true"
"508","q[5,2]",0.999785810246616,0.999865454479009,"true"
"509","q[6,2]",1.00222080073515,1.00878279953607,"true"
"510","q[7,2]",1.00003701068361,1.0012015260274,"true"
"511","q[8,2]",1.00005702524306,1.00128055541809,"true"
"512","q[9,2]",1.00053450354465,1.00250526301958,"true"
"513","q[10,2]",0.999591609617025,0.999800945570786,"true"
"514","q[11,2]",1.00063896113128,1.00273595638396,"true"
"515","q[12,2]",1.00027149366124,1.00143394189454,"true"
"516","q[13,2]",1.00162846911633,1.00629199166271,"true"
"517","q[14,2]",1.00030050706523,1.0024092579914,"true"
"518","q[15,2]",1.00033873865268,1.00171677898439,"true"
"519","q[16,2]",1.00145258280693,1.00423287547521,"true"
"520","q[17,2]",1.00018230255145,1.00050305629809,"true"
"521","q[18,2]",1.00055273030465,1.00243341968158,"true"
"522","q[19,2]",0.999964865332765,1.00072200990772,"true"
"523","q[20,2]",1.00040441560659,1.00075364250752,"true"
"524","q[21,2]",0.999702345112601,0.999907676725304,"true"
"525","q[22,2]",1.00001790204946,1.00124914227832,"true"
"526","q[23,2]",0.999704376060959,0.999808096432685,"true"
"527","q[24,2]",0.999662190778817,1.00006408348437,"true"
"528","q[25,2]",0.999586844393516,0.999720089925377,"true"
"529","q[26,2]",0.999987910200684,1.00119315564493,"true"
"530","q[27,2]",1.00053760776867,1.00135267542723,"true"
"531","q[28,2]",1.00007094255781,1.0004629978281,"true"
"532","q[29,2]",1.00052108308095,1.00133525625759,"true"
"533","q[30,2]",0.999734500101845,0.999991167926287,"true"
"534","q[31,2]",0.999810895640798,1.00049334825316,"true"
"535","q[32,2]",1.00030031333334,1.0019098901003,"true"
"536","q[33,2]",0.999793749162129,1.00039496879868,"true"
"537","q[34,2]",0.999826351533055,1.00026789747113,"true"
"538","q[35,2]",0.999661564419862,0.999965003433647,"true"
"539","q[36,2]",1.00062695398405,1.00309200536069,"true"
"540","q[37,2]",1.00115644304158,1.00535311665007,"true"
"541","q[1,3]",1.0047559203047,1.0072015209147,"true"
"542","q[2,3]",1.0025772221492,1.00274365182636,"true"
"543","q[3,3]",1.00231781759907,1.00335025588857,"true"
"544","q[4,3]",1.00211624001288,1.00525698090566,"true"
"545","q[5,3]",1.00443811811215,1.0147838162246,"true"
"546","q[6,3]",1.00015738052011,1.00034589283024,"true"
"547","q[7,3]",1.00086915307104,1.00411888178799,"true"
"548","q[8,3]",1.00180715682018,1.00537691377257,"true"
"549","q[9,3]",0.99968454500949,0.9997006935882,"true"
"550","q[10,3]",1.00143574646441,1.00461641296653,"true"
"551","q[11,3]",1.00259998985644,1.00359123155017,"true"
"552","q[12,3]",1.0082893691444,1.01168126416419,"true"
"553","q[13,3]",1.0004790125756,1.00282647122292,"true"
"554","q[14,3]",1.01040766305963,1.0173934140882,"true"
"555","q[15,3]",1.00063941116781,1.00064321949623,"true"
"556","q[16,3]",1.00150941079908,1.00253366614041,"true"
"557","q[17,3]",1.00059685937379,1.00062192168194,"true"
"558","q[18,3]",1.00088065307871,1.00138990436598,"true"
"559","q[19,3]",1.00283388894608,1.00459177145043,"true"
"560","q[20,3]",1.00218305434786,1.00471549102952,"true"
"561","q[21,3]",1.00319925294473,1.0067338559306,"true"
"562","q[22,3]",1.0031349333774,1.00360964754274,"true"
"563","q[23,3]",0.999967664803113,1.0009912484104,"true"
"564","q[24,3]",1.00134730302072,1.00261428899612,"true"
"565","q[25,3]",1.00038069759754,1.00228568787092,"true"
"566","q[26,3]",1.00634842867184,1.01001485257405,"true"
"567","q[27,3]",1.00028365971804,1.00209376671469,"true"
"568","q[28,3]",1.00060562767358,1.00193223516357,"true"
"569","q[29,3]",0.999913851166294,1.00053288189454,"true"
"570","q[30,3]",1.00025069541768,1.00122712483441,"true"
"571","q[31,3]",1.00141429092719,1.00552935742176,"true"
"572","q[32,3]",1.00059002128137,1.00206813242188,"true"
"573","q[33,3]",1.00323082279624,1.00384805057196,"true"
"574","q[34,3]",1.00340689427611,1.00695165819001,"true"
"575","q[35,3]",0.999987550598114,1.00009987418756,"true"
"576","q[36,3]",1.00048722036816,1.00303428471176,"true"
"577","q[37,3]",1.00072584908007,1.00197082782232,"true"
"578","sigma.R",1.00027378093272,1.00169979091599,"true"
"579","sigma.R0",1.00457520719465,1.00842700423065,"true"
