"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"variable","sd","mean","0%","2.5%","5%","50%","95%","97.5%","100%"
"Smsy_lambert","  9381.064","  6812.416","  2857.613","  3916.176","  4152.942","  5946.265"," 10715.454"," 12823.833","471046.580"
"Umsy_lambert","0.1055443","0.5569504","0.2018653","0.3588740","0.3904632","0.5545451","0.7373308","0.7673383","0.9485516"
