"","variable","Mean","SD","time_series_se","2.5%","50%","97.5%","mc_error","converge"
"1","B.sum",7.82810278273693,2.06189352127038,0.0376558687932601,4.42804205205022,7.6144950335783,12.4013728537037,0.0182627611003208,"true"
"2","D.sum",11.7832741584376,3.11410251200571,0.0578569098841501,6.69935042757044,11.4341144533303,18.7870946435073,0.0185789997795821,"true"
"3","H.B[1]",8441.86278820651,5591.3238212901,102.274068704844,1599.34231454872,7245.76220426645,22576.2705237194,0.0182915660000615,"true"
"4","H.B[2]",8230.06677031802,5397.15355129899,98.5674942675497,1424.58286285398,7033.39649695711,21619.0910245304,0.0182628664036854,"true"
"5","H.B[3]",7607.70395639786,4869.11439555987,88.9037023550025,1591.20692745085,6585.28706379207,19565.4915786219,0.0182587006861193,"true"
"6","H.B[4]",5683.58364543186,1103.39254773306,21.2120759523373,3778.85148046229,5591.08371833761,8152.30942705718,0.0192244147342829,"true"
"7","H.B[5]",9348.44335520077,1768.50789508764,31.6696813817959,6322.44642927039,9193.8212752962,13323.3240409415,0.017907571388154,"true"
"8","H.B[6]",2875.9889125889,557.35546902301,10.0274510612223,1918.75399788549,2821.35844819454,4098.85309392703,0.0179911234724213,"true"
"9","H.B[7]",7329.72954038596,1363.09486287773,24.8873244015894,5011.48278558269,7238.32988711431,10341.2170508459,0.0182579548051762,"true"
"10","H.B[8]",4312.62015382973,836.962316593141,16.0020157145302,2921.58076608095,4230.63263832634,6226.63940983147,0.0191191591273386,"true"
"11","H.B[9]",8192.99900489389,4626.73262914795,85.0413097033792,1784.58152825899,7345.9919839466,19389.0711555505,0.0183804244852247,"true"
"12","H.B[10]",9847.72325933883,1837.52176030538,33.5463143260977,6617.7476853282,9730.48253613107,13838.8925987427,0.0182562813952868,"true"
"13","H.B[11]",16172.1927433323,2999.80700425325,56.2825109386996,11087.3835107566,15902.3111287687,22881.2860871693,0.0187620439777959,"true"
"14","H.B[12]",1709.78658948384,342.085098193843,5.94395325679415,1145.84544814812,1675.03882126086,2489.62500754124,0.0173756567829973,"true"
"15","H.B[13]",7974.68031118871,1503.5175518292,27.2578131563445,5458.81128867022,7852.0753830663,11422.4905593774,0.0181293614585226,"true"
"16","H.B[14]",7011.62567467496,1346.10260791133,25.2238833108289,4710.32216855643,6904.15566058293,10068.3352414559,0.018738455124136,"true"
"17","H.B[15]",3318.35778702619,647.321361190142,11.3446756526407,2225.29656196477,3262.26839827821,4735.74854117832,0.017525569729049,"true"
"18","H.B[16]",1558.6816932556,316.652786621988,5.78173352415718,1020.55695487599,1526.77837994084,2279.84389358778,0.0182589061850236,"true"
"19","H.B[17]",1736.38799726569,333.409792726988,6.08787939967926,1169.57086458036,1706.17589201769,2485.24066031139,0.018259449879639,"true"
"20","H.B[18]",9496.95552772974,1733.58885926812,32.5058126209602,6558.24206096099,9352.08661722613,13261.7186666105,0.0187505892456435,"true"
"21","H.B[19]",12062.5232706781,2238.53161906253,40.8816792422999,8288.63018614983,11839.9162755052,17040.9831438003,0.0182627213724239,"true"
"22","H.B[20]",7183.25587944754,1342.25129822717,24.5071850620806,4913.46219443036,7082.40209700945,10075.7775361549,0.0182582688461166,"true"
"23","H.B[21]",13589.8025022856,2517.11685726426,45.960024743874,9372.41481686806,13396.2179531115,18989.539908911,0.0182589952513472,"true"
"24","H.B[22]",11139.6927615795,2054.17488454625,37.5142461915026,7635.27949249161,10940.8433279652,15581.9450938659,0.0182624402984019,"true"
"25","H.B[23]",8337.26218563687,1560.90077617774,29.314595333321,5668.921450358,8188.88729535793,11779.1088924908,0.0187805629805023,"true"
"26","H.B[24]",7671.77189709442,1426.8551913165,25.4075432871453,5212.79249892416,7538.26004848789,10847.9907498343,0.0178066726334736,"true"
"27","H.B[25]",3471.90767617213,667.796245707215,12.1958182023065,2321.88599341771,3426.1004539448,4962.93712144049,0.0182627834174042,"true"
"28","H.B[26]",5559.55847236581,1039.48498401471,18.9660731029771,3737.35359933428,5460.58578569817,7858.03283083703,0.0182456441359318,"true"
"29","H.B[27]",5466.60437334998,1011.76615587201,18.4672343816914,3801.22705104201,5361.86425735751,7682.51652974293,0.0182524729400293,"true"
"30","H.B[28]",7250.13902792688,1326.39624246598,24.2184972436384,5000.79173508314,7117.39222396516,10126.1547655488,0.0182588705156555,"true"
"31","H.B[29]",2843.14808641692,542.8582212252,10.1961227700715,1961.22638473657,2795.10202149781,4072.21288081973,0.0187822941081364,"true"
"32","H.B[30]",3788.73374766788,715.727448936349,13.25664194073,2601.88284542054,3729.37511486185,5399.96978484968,0.018521913558619,"true"
"33","H.B[31]",4232.96444995427,811.340839379846,14.8859805361394,2880.40163741065,4153.06139362311,6002.11598558566,0.0183473822758849,"true"
"34","H.B[32]",3649.72038627501,695.562225137311,12.7002504897502,2489.42090697739,3589.84898598934,5160.2562931993,0.0182589709888903,"true"
"35","H.B[33]",1586.50836621199,303.24776051652,5.53601916473288,1063.34670688534,1563.01707515037,2259.64995990194,0.0182557627311193,"true"
"36","H.B[34]",5062.16346680629,938.926461574431,17.1416232662271,3458.22192304953,5007.15868541325,7103.29690148767,0.0182566196265076,"true"
"37","H.B[35]",2304.19309544996,456.020071691105,8.32724438110417,1539.59195312804,2254.43540026053,3300.63549883672,0.018260697057091,"true"
"38","H.B[36]",3055.59214627204,581.142733224879,10.6765375146926,2065.84364475979,3006.38832979094,4354.95997009928,0.0183716269761239,"true"
"39","H.B[37]",1692.07135235677,331.729370391011,5.83707761595563,1133.16554144543,1664.9379135215,2445.60483963106,0.0175959023739003,"true"
"40","N[1]",18919.3740648433,5636.66864313607,103.301910432003,11867.5033669861,17701.7099432011,33189.3223191767,0.0183267665658858,"true"
"41","N[2]",18866.0958538035,5417.24729361788,98.9333455566184,12073.0310400454,17641.2857682436,32439.6265958355,0.0182626600179713,"true"
"42","N[3]",16179.4600829662,5199.1185067073,94.948052874851,9018.47722368618,15311.345277243,28752.620121988,0.0182623367311901,"true"
"43","N[4]",13578.9816858512,2014.90970218235,37.5021578417735,10041.5768715316,13426.8358603605,17714.7990169197,0.018612326796161,"true"
