"","year","age","age_comp","p","q","Nya"
"1",1977,"Age 5",NA,0.603607162887398,NA,NA
"4",1978,"Age 5",NA,0.607179372872149,NA,NA
"7",1979,"Age 5",NA,0.600168254884,NA,NA
"10",1980,"Age 5",NA,0.587193991062345,NA,NA
"13",1981,"Age 5",NA,0.562735333031175,NA,NA
"16",1982,"Age 5",NA,0.721231473790396,NA,NA
"19",1983,"Age 5",NA,0.649636160028545,0.575872673259033,10923.9623556204
"22",1984,"Age 5",NA,0.758945997120269,0.603025539771621,11375.0737432234
"25",1985,"Age 5",NA,0.651842911321887,0.634428727219463,10358.5847296135
"28",1986,"Age 5",0.474747474747475,0.514540123945168,0.479920592932916,6603.18395050029
"31",1987,"Age 5",0.93,0.634804614795375,0.895948380101838,17749.2267923486
"34",1988,"Age 5",0.57,0.644018158687596,0.560614406767059,5433.77204827606
"37",1989,"Age 5",0.69,0.473973353214483,0.682715460962858,14557.7725420597
"40",1990,"Age 5",0.54,0.654663028711787,0.546861470150993,11286.1025729936
"43",1991,"Age 5",NA,0.693036447886505,0.600171791752823,10517.6980924637
"46",1992,"Age 5",0.57,0.624009854979151,0.570464414121099,11636.2245793029
"49",1993,"Age 5",NA,0.585616484808819,0.647317310926747,16549.0814350248
"52",1994,"Age 5",NA,0.522631974069119,0.64614634347411,8970.54443887905
"55",1995,"Age 5",0.465346534653465,0.651252795998935,0.469216177868929,7570.94914890072
"58",1996,"Age 5",0.87,0.610393318155184,0.849320032721108,16008.224884896
"61",1997,"Age 5",0.49,0.397230489656574,0.500115302525896,4637.88107514271
"64",1998,"Age 5",0.48,0.698763154488165,0.489510986902608,6655.84995102964
"67",1999,"Age 5",0.6,0.76332848187746,0.599730944323078,7613.45651254323
"70",2000,"Age 5",0.53,0.663827632117222,0.532613516977024,9366.71181558158
"73",2001,"Age 5",0.595959595959596,0.586556828330068,0.610226041854271,12861.9788089895
"76",2002,"Age 5",0.41,0.512592838495724,0.429871135705089,5381.82611667722
"79",2003,"Age 5",0.84,0.77029663732268,0.81002262242256,16713.4093973197
"82",2004,"Age 5",0.727272727272727,0.756304321704228,0.711611109285756,13461.9026713486
"85",2005,"Age 5",0.69,0.756843386391524,0.685348083777272,10886.2662691486
"88",2006,"Age 5",0.58,0.609490541089444,0.595197532421571,6980.48792520956
"91",2007,"Age 5",0.74,0.656017025245236,0.721060224379615,4831.82098036898
"94",2008,"Age 5",0.77,0.635885158908347,0.744075675189554,5533.38323947696
"97",2009,"Age 5",0.707070707070707,0.514122215473575,0.684798142840085,6297.63561228412
"100",2010,"Age 5",0.77,0.453423744069585,0.757981809403928,9651.5719399897
"103",2011,"Age 5",0.62,0.600196146004177,0.61526799120571,4718.56448916339
"106",2012,"Age 5",0.61,0.414685046528267,0.61180731158302,5786.31235921753
"109",2013,"Age 5",0.61,0.586977392042749,0.607864612815543,6390.32460682652
"112",2014,"Age 5",0.44,0.397233237465407,0.46341268208278,4049.39168707926
"115",2015,"Age 5",0.59,0.5809469976649,0.596628997744163,3895.02629174126
"118",2016,"Age 5",0.37,NA,0.395913306832255,4124.20596764122
"121",2017,"Age 5",0.777777777777778,NA,0.763060863743452,4415.59692418867
"124",2018,"Age 5",0.22,NA,0.262088039905855,1912.96675445865
"127",2019,"Age 5",0.425742574257426,NA,0.44597257480235,3644.41901494567
"2",1977,"Ages 2-4",NA,0.367308125117252,NA,NA
"5",1978,"Ages 2-4",NA,0.363600864588488,NA,NA
"8",1979,"Ages 2-4",NA,0.372135169050683,NA,NA
