year,w,cv.w,h.b,cv.hb,x4,x5,x6
1983,10484,0.05,NA,0.9,0,0,0
1984,9764,0.042607951,NA,0.9,0,0,0
1985,7073,0.206431695,NA,0.9,0,0,0
1986,5857,0.229363142,5346,0.2,48,47,4
1987,9353,0.193833931,9284,0.2,5,93,2
1988,969,0.777252605,2637,0.2,41,57,2
1989,12854,0.042005362,7425,0.2,24,69,7
1990,18095,0.185335952,4065,0.2,43,54,3
1991,299,0.960312361,NA,0.9,0,0,0
1992,9439,0.200288618,10026,0.2,40,57,3
1993,NA,0.9,18401,0.2,0,0,0
1994,NA,0.9,1515,0.2,0,0,0
1995,7668,0.063488096,8117,0.2,43,47,11
1996,10442,0.077936494,6941,0.2,13,87,0
1997,4999,0.128134804,3134,0.2,50,49,1
1998,13358,0.188772008,1396,0.2,52,48,0
1999,10277,0.181780428,1547,0.2,39,60,1
2000,6763,0.162118207,9841,0.2,47,53,0
2001,8060,0.087133864,13314,0.2,40,59,0
2002,5071,0.05,6841,0.2,59,41,0
2003,7014,0.05,14579,0.2,16,84,0
2004,7813,0.05,11982,0.2,27,72,0
2005,7549,0.05,8711,0.2,29,69,2
2006,4165,0.05,8185,0.2,41,58,1
2007,3099,0.05,3271,0.2,22,74,4
2008,1763,0.05,5732,0.2,23,77,0
2009,3689,0.05,5492,0.2,29,70,0
2010,5640,0.05,7694,0.2,22,77,1
2011,4777,0.05,2684,0.2,29,69,2
2012,5790,0.05,2482,0.2,41,58,1
2013,6334,0.05,1078,0.2,22,74,4
2014,6878,0.05,1078,0.2,23,77,0
2015,7422,0.05,1078,0.2,29,70,0
2016,7966,0.05,1078,0.2,22,77,1
2017,8510,0.05,1078,0.2,29,70,0
2018,9054,0.05,1078,0.2,22,77,1
2019,9598,0.05,1078,0.2,15,84,2
